APP,OkHttp,极光推送,个推推送,友盟推送,小米推送,信鸽推送,华为推送,魅族推送
Chrome Dev,NO,NO,NO,NO,NO,NO,NO,NO
UC浏览器,NO,NO,NO,NO,YES,NO,YES,YES
极速清理,NO,NO,NO,NO,NO,NO,NO,NO
免费WIFI连接,NO,NO,NO,NO,NO,NO,NO,NO
极速浏览器,NO,NO,NO,NO,NO,NO,NO,NO
TP-LINK专业破解,NO,NO,NO,NO,NO,NO,NO,NO
搜狗输入法,YES,NO,NO,NO,NO,NO,NO,NO
金山电池医生,YES,NO,NO,NO,YES,NO,NO,NO
全能工具箱,YES,NO,NO,NO,NO,NO,NO,NO
手机管家,YES,NO,NO,YES,YES,NO,NO,NO
 趣输入,YES,NO,NO,NO,YES,NO,YES,NO
Firefox火狐浏览器简体中文版,NO,NO,NO,NO,NO,NO,NO,NO
百度,YES,NO,NO,NO,NO,NO,YES,YES
百度输入法,YES,NO,NO,NO,NO,NO,NO,NO
鲁大师评测,YES,YES,YES,YES,YES,NO,NO,YES
QQ输入法,NO,NO,NO,NO,NO,NO,NO,NO
蚂蚁浏览器,NO,NO,NO,NO,NO,NO,NO,NO
存储空间清理,NO,NO,NO,NO,NO,NO,NO,NO
WiFi万能钥匙女生版,NO,NO,NO,NO,NO,NO,NO,NO
智能垃圾清理,NO,YES,NO,NO,NO,NO,NO,NO
万能钥匙wifi,YES,NO,NO,NO,NO,NO,NO,NO
欧朋浏览器（红包版）,NO,NO,NO,NO,YES,NO,NO,NO
邻里WiFi密码,NO,NO,NO,NO,NO,NO,NO,NO
Power Security,NO,NO,NO,NO,NO,NO,NO,NO
杀毒清理大师,YES,NO,NO,NO,NO,NO,NO,NO
手机快速充电,NO,NO,NO,NO,NO,NO,NO,NO
摇摇充电,NO,NO,NO,NO,NO,NO,NO,NO
ROOT大师,NO,NO,NO,NO,NO,NO,NO,NO
Uyghurche Kirguzguch,YES,NO,NO,YES,NO,NO,YES,NO
OurPlay原谷歌空间,YES,NO,NO,NO,NO,NO,NO,NO
极搜浏览器,NO,YES,NO,NO,NO,NO,NO,NO
讯飞输入法,NO,NO,NO,NO,NO,NO,NO,NO
电池寿命修复大师,NO,NO,NO,NO,NO,NO,NO,NO
WiFi信号增强放大器,YES,NO,NO,YES,NO,NO,YES,NO
WiFi随意连蹭网神器,NO,NO,NO,NO,NO,NO,NO,NO
e浏览器,NO,NO,NO,NO,NO,NO,NO,NO
手机充电加速器,NO,NO,NO,NO,NO,NO,NO,NO
强力清理大师,NO,YES,NO,NO,NO,NO,NO,NO
垃圾清理大师,NO,YES,NO,NO,NO,NO,NO,NO
浏览器,YES,NO,NO,NO,YES,NO,NO,NO
绿色守护,NO,NO,NO,NO,NO,NO,NO,NO
微信恢复大师,YES,NO,NO,NO,NO,NO,NO,NO
桔子浏览器,NO,NO,NO,NO,NO,NO,NO,NO
KK键盘,YES,NO,NO,YES,NO,NO,YES,NO
万能ROOT,NO,NO,NO,NO,NO,NO,NO,NO
夸克,YES,NO,NO,NO,NO,NO,NO,NO
360手机急救箱,NO,NO,NO,NO,NO,NO,NO,NO
2345网址导航,YES,YES,NO,NO,YES,NO,NO,NO
QQ浏览器Play版,NO,NO,NO,NO,NO,NO,NO,NO
清理大师加速,NO,NO,NO,NO,NO,NO,NO,NO
久久浏览器,NO,NO,NO,YES,NO,NO,NO,NO
全能钥匙爆破wifi,NO,NO,NO,NO,NO,NO,NO,NO
WIFI管家,YES,NO,NO,YES,NO,NO,NO,NO
万能WiFi钥匙,NO,NO,NO,NO,NO,NO,NO,NO
WiFi钥匙,NO,NO,NO,YES,YES,NO,NO,YES
网址大全,YES,NO,NO,NO,NO,NO,NO,NO
百度极速版,YES,NO,NO,NO,NO,NO,YES,YES
腾讯手机管家,NO,NO,NO,NO,NO,NO,YES,NO
腾讯WiFi管家,NO,NO,NO,NO,NO,NO,YES,NO
WiFi 连网神器,NO,NO,NO,NO,NO,NO,NO,NO
无线密码破解器,YES,NO,NO,YES,NO,NO,YES,NO
万能浏览器,NO,NO,NO,NO,NO,NO,NO,NO
ES文件浏览器,YES,NO,NO,NO,NO,NO,NO,NO
Via,NO,NO,NO,NO,NO,NO,NO,NO
清理大师,YES,NO,NO,YES,NO,NO,NO,NO
手机监控,YES,NO,NO,NO,NO,NO,NO,NO
搜狗浏览器极速版,YES,NO,NO,YES,YES,NO,NO,NO
UC浏览器极速版,NO,NO,NO,NO,YES,NO,YES,YES
360手机卫士,YES,NO,NO,NO,NO,NO,YES,NO
腾讯文件管理器,YES,NO,NO,NO,NO,NO,NO,NO
降温大师,NO,NO,YES,NO,NO,NO,NO,NO
指纹电池充电器,NO,NO,NO,NO,NO,NO,NO,NO
WiFi密码显示器,NO,NO,NO,NO,NO,NO,NO,NO
WIFI密码查看器,NO,NO,NO,NO,YES,NO,NO,NO
wifi上网加速器,YES,NO,NO,NO,NO,NO,NO,NO
360省电王,NO,NO,NO,YES,NO,NO,NO,NO
搜狗搜索,YES,YES,NO,YES,YES,NO,YES,YES
超级清理大师,YES,NO,YES,NO,NO,NO,NO,NO
猎豹清理大师,NO,YES,NO,NO,YES,NO,YES,NO
WiFi连接管理器,NO,NO,NO,NO,NO,NO,NO,NO
WiFi信号增强器,NO,NO,NO,YES,NO,NO,NO,NO
手机清理内存加速,NO,NO,NO,NO,NO,NO,NO,NO
猎豹浏览器,YES,YES,NO,NO,YES,NO,NO,NO
WiFi万能密码,NO,NO,NO,YES,YES,NO,YES,NO
TP-LINK,NO,NO,NO,NO,NO,NO,NO,NO
Chrome浏览器测试版,NO,NO,NO,NO,NO,NO,NO,NO
安全浏览器,NO,NO,NO,YES,YES,NO,YES,NO
WiFi万能钥匙,YES,YES,NO,NO,NO,NO,YES,NO
ROOT精灵,YES,NO,NO,NO,NO,NO,NO,NO
KingRoot,NO,NO,NO,NO,NO,NO,NO,NO
全能浏览器,YES,NO,NO,NO,YES,YES,YES,YES
wifi密码查看大师,NO,NO,NO,NO,NO,NO,NO,NO
手写输入法,NO,NO,NO,NO,NO,NO,NO,NO
宙斯浏览器,YES,YES,NO,NO,NO,NO,NO,NO
万能钥匙加强版,YES,NO,NO,NO,NO,NO,NO,NO
lbe安全大师,NO,NO,NO,NO,NO,NO,NO,NO
太阳能充电器,NO,NO,NO,NO,NO,NO,NO,NO
充电助手,NO,NO,NO,NO,NO,NO,NO,NO
