APP,OkHttp,极光推送,个推推送,友盟推送,小米推送,信鸽推送,华为推送,魅族推送
一元街,NO,YES,YES,NO,NO,NO,NO,NO
高树酒鉴,NO,YES,NO,NO,NO,NO,NO,NO
网易考拉,YES,NO,NO,NO,YES,NO,YES,NO
必要,YES,YES,YES,NO,YES,NO,NO,NO
闪送,YES,NO,YES,NO,NO,NO,YES,YES
拍拍二手,YES,NO,NO,NO,YES,NO,YES,YES
美团,YES,NO,NO,NO,YES,NO,YES,YES
淘宝特价版,NO,NO,NO,NO,NO,NO,YES,YES
当当,YES,NO,NO,NO,YES,NO,YES,NO
小黑鱼,YES,YES,YES,NO,YES,NO,YES,YES
手机淘宝,NO,NO,NO,NO,YES,NO,YES,YES
有赞微小店,YES,NO,YES,NO,NO,NO,NO,NO
男人帮,NO,NO,YES,NO,NO,NO,NO,NO
京东,YES,NO,YES,NO,YES,NO,YES,YES
俏俏,NO,NO,NO,NO,NO,NO,NO,NO
蘑菇街,YES,NO,YES,NO,NO,NO,YES,YES
拼多多,YES,YES,NO,NO,YES,YES,YES,YES
菜鸟裹裹,YES,NO,NO,NO,YES,NO,YES,YES
云淘集,NO,YES,NO,NO,NO,NO,NO,NO
特价会,NO,NO,NO,NO,NO,YES,NO,NO
闪电降价,YES,YES,NO,NO,YES,NO,YES,YES
Caparol商城,NO,NO,NO,NO,NO,NO,NO,NO
聚划算,NO,NO,NO,NO,YES,NO,YES,YES
楚楚街,YES,NO,NO,NO,YES,YES,NO,NO
康爱多掌上药店,YES,NO,YES,NO,NO,NO,YES,YES
手机天猫,YES,NO,NO,NO,YES,NO,YES,YES
猫淘优惠券,YES,YES,NO,NO,NO,NO,NO,NO
顺丰速运,YES,YES,NO,NO,NO,NO,NO,NO
豆蔻成人用品情趣店,YES,YES,NO,NO,NO,NO,NO,NO
一手服装批发网,YES,YES,NO,NO,NO,NO,NO,NO
小米有品,YES,NO,NO,NO,YES,NO,NO,NO
粉色成人两性情趣社,NO,NO,NO,NO,NO,YES,NO,NO
返利,YES,YES,NO,YES,YES,YES,YES,YES
二手手机找靓机,YES,NO,NO,NO,YES,YES,YES,YES
美丝梦莎服饰,NO,NO,NO,NO,NO,NO,NO,NO
唯品会,YES,NO,NO,NO,NO,NO,YES,NO
一折特卖,YES,NO,NO,YES,NO,NO,NO,NO
省钱快报,YES,YES,NO,YES,YES,NO,YES,YES
淘购优惠券,NO,NO,NO,NO,NO,NO,NO,NO
爱回收,YES,YES,YES,NO,NO,NO,YES,YES
春水堂,NO,NO,NO,YES,NO,NO,NO,NO
义乌购,YES,YES,NO,NO,YES,NO,YES,NO
阿里巴巴1688批发,YES,NO,NO,NO,YES,NO,YES,NO
0元超市,YES,NO,NO,NO,YES,NO,NO,NO
丽菁国际,NO,NO,NO,NO,NO,NO,NO,NO
服饰会所,NO,NO,NO,NO,NO,NO,NO,NO
京东到家,YES,NO,YES,NO,YES,NO,YES,YES
一淘,NO,NO,NO,NO,YES,NO,YES,NO
云集微店,YES,NO,YES,NO,NO,NO,YES,YES
每日优鲜,YES,NO,NO,YES,NO,NO,YES,YES
折返街,NO,YES,NO,NO,NO,NO,NO,NO
淘集集,YES,YES,NO,NO,YES,NO,YES,YES
返利淘联盟,NO,YES,NO,NO,NO,NO,NO,NO
淘粉吧,NO,NO,YES,NO,YES,NO,YES,NO
优衣库,NO,YES,YES,NO,NO,YES,NO,NO
优惠券,NO,YES,NO,NO,NO,NO,NO,NO
咸鱼网,YES,YES,NO,NO,NO,NO,NO,NO
零用钱,NO,NO,NO,NO,YES,NO,NO,NO
百度糯米,YES,NO,NO,NO,NO,NO,YES,YES
亚马逊购物,YES,NO,YES,NO,NO,NO,NO,NO
韵达快递,YES,NO,YES,NO,NO,NO,NO,NO
中通快递,YES,NO,NO,NO,NO,NO,NO,NO
熊猫优选,YES,YES,NO,NO,YES,NO,NO,YES
天天汽车,NO,YES,NO,NO,NO,NO,NO,NO
